Msiteelement,Asiteelement,Xsiteelement,Matomporbitalradii,Matomdorbitalradii,Matomsorbitalradii,Aatomsorbitalradii,Aatomporbitalradii,Xatomsorbitalradii,Xatomporbitalradii,BBulkmodulus,GShearmodulus,EYoungsmodulus
Cr,P,N,0.416,0.4265,1.453,0.803,0.9175,0.521,0.4875,210,101,262
W,Ga,C,0.582,0.746,1.36,0.96,1.254,0.62,0.596,211,97,252
V,Si,C,0.439,0.449,1.401,0.904,1.068,0.62,0.596,211,126,315
Mo,Ge,C,0.56,0.699,1.52,0.886,1.09,0.62,0.596,212,83,219
W,As,N,0.582,0.746,1.36,0.826,0.9915,0.521,0.4875,213,70,189
Nb,Si,N,0.586,0.747,1.589,0.904,1.068,0.521,0.4875,213,103,265
W,Al,C,0.582,0.746,1.36,1.044,1.312,0.62,0.596,214,110,280
Cr,Si,C,0.416,0.4265,1.453,0.904,1.068,0.62,0.596,215,87,229
Ta,As,N,0.599,0.784,1.413,0.826,0.9915,0.521,0.4875,216,74,200
Ta,Al,N,0.599,0.784,1.413,1.044,1.312,0.521,0.4875,217,115,293
Ta,Ge,N,0.599,0.784,1.413,0.886,1.09,0.521,0.4875,217,92,241
Ta,As,C,0.599,0.784,1.413,0.826,0.9915,0.62,0.596,219,129,324
Nb,P,N,0.586,0.747,1.589,0.803,0.9175,0.521,0.4875,219,102,266
Cr,Si,N,0.416,0.4265,1.453,0.904,1.068,0.521,0.4875,222,49,138
Ta,Ga,N,0.599,0.784,1.413,0.96,1.254,0.521,0.4875,223,107,277
Nb,S,N,0.586,0.747,1.589,0.723,0.808,0.521,0.4875,223,106,273
Cr,P,C,0.416,0.4265,1.453,0.803,0.9175,0.62,0.596,224,98,257
Mo,Ga,N,0.56,0.699,1.52,0.96,1.254,0.521,0.4875,224,49,137
Mo,P,C,0.56,0.699,1.52,0.803,0.9175,0.62,0.596,225,71,193
Mo,Si,C,0.56,0.699,1.52,0.904,1.068,0.62,0.596,225,94,248
Nb,P,C,0.586,0.747,1.589,0.803,0.9175,0.62,0.596,226,145,358
Ta,Si,C,0.599,0.784,1.413,0.904,1.068,0.62,0.596,226,126,318
W,Cd,N,0.582,0.746,1.36,0.445,1.184,0.521,0.4875,226,99,259
Mo,P,N,0.56,0.699,1.52,0.803,0.9175,0.521,0.4875,226,65,179
W,As,C,0.582,0.746,1.36,0.826,0.9915,0.62,0.596,227,34,96
V,P,C,0.439,0.449,1.401,0.803,0.9175,0.62,0.596,227,154,376
V,P,N,0.439,0.449,1.401,0.803,0.9175,0.521,0.4875,229,122,312
W,P,N,0.582,0.746,1.36,0.803,0.9175,0.521,0.4875,230,62,171
Ta,Si,N,0.599,0.784,1.413,0.904,1.068,0.521,0.4875,230,106,275
W,Ge,C,0.582,0.746,1.36,0.886,1.09,0.62,0.596,234,80,216
W,P,C,0.582,0.746,1.36,0.803,0.9175,0.62,0.596,242,45,126
Ta,P,C,0.599,0.784,1.413,0.803,0.9175,0.62,0.596,243,151,375
Ta,S,N,0.599,0.784,1.413,0.723,0.808,0.521,0.4875,246,109,285
W,Si,C,0.582,0.746,1.36,0.904,1.068,0.62,0.596,251,95,253
Ta,P,N,0.599,0.784,1.413,0.803,0.9175,0.521,0.4875,255,122,315
